Team,Games,Recommended Rebound Threshold,Games >= Threshold,Games < Threshold,Win Rate >= Threshold,Win Rate < Threshold,Win Rate Lift,Baseline Win Rate,Threshold Method,Pred Win >= Threshold (Logistic Regression),Pred Win < Threshold (Logistic Regression),Pred Lift (Logistic Regression),Pred Win >= Threshold (Decision Tree),Pred Win < Threshold (Decision Tree),Pred Lift (Decision Tree),Pred Win >= Threshold (Gradient Boosting),Pred Win < Threshold (Gradient Boosting),Pred Lift (Gradient Boosting)
Sacramento Kings,3507,59,35,3472,0.9142857142857143,0.42252304147465436,0.4917626728110599,0.4274308525805532,Historical threshold scan,0.551521427209734,0.5174616411545312,0.03405978605520277,0.7381081081081081,0.49152448194217313,0.246583626165935,0.7393001694671513,0.4914756716542735,0.24782449781287774
Philadelphia 76ers,5607,60,29,5578,0.9310344827586207,0.5066332018644676,0.4244012808941531,0.5088282504012841,Historical threshold scan,0.5557221944245574,0.49569595158116964,0.060026242843387756,0.738108108108108,0.49611157873975353,0.24199652936835447,0.7472147633620355,0.49637072506681446,0.25084403829522106
Charlotte Hornets,2195,58,41,2154,0.8536585365853658,0.4452181987000928,0.408440337885273,0.45284738041002276,Historical threshold scan,0.5506396007702927,0.5172560602460292,0.03338354052426351,0.7381081081081081,0.4892502595693015,0.2488578485388066,0.7356258025794526,0.489429081680578,0.24619672089887462
Memphis Grizzlies,2249,60,32,2217,0.875,0.47316193053676137,0.40183806946323863,0.4788795020008893,Historical threshold scan,0.552173491229249,0.517392635604234,0.034780855625014984,0.7381081081081081,0.4898578909128614,0.2482502171952467,0.7399929388866351,0.48998521541908246,0.2500077234675526
Phoenix Suns,5138,62,25,5113,0.92,0.53080383336593,0.3891961666340701,0.5326975476839237,Historical threshold scan,0.5604174314748787,0.49995646200468363,0.060460969470195025,0.7381081081081081,0.49881757153413636,0.23929053657397176,0.7421669167226529,0.49916333755212017,0.24300357917053272
Charlotte Bobcats,879,52,43,836,0.7209302325581395,0.33851674641148327,0.3824134861466562,0.3572241183162685,Historical threshold scan,0.5398123641004908,0.5125834465511977,0.02722891754929313,0.6981632922375307,0.4407675161509585,0.2573957760865722,0.6978354941608471,0.44000512253251417,0.25783037162833294
Toronto Raptors,2723,57,48,2675,0.8541666666666666,0.47289719626168225,0.3812694704049844,0.4796180683070143,Historical threshold scan,0.5478256756234368,0.5161197652510396,0.03170591037239712,0.7381081081081081,0.47851540247496194,0.2595927056331462,0.7379103438551752,0.47782953006476453,0.26008081379041065
Minnesota Timberwolves,3183,59,37,3146,0.7837837837837838,0.4224411951684679,0.3613425886153159,0.42664153314483194,Historical threshold scan,0.5518970998881122,0.5166294339273857,0.0352676659607265,0.7381081081081081,0.48287135402187764,0.2552367540862305,0.7347369339587532,0.48235403627879614,0.25238289767995703
St. Louis Hawks,1121,75,26,1095,0.8846153846153846,0.5388127853881278,0.34580259922725676,0.5468331846565566,Historical threshold scan,0.5868186450897531,0.45311361704211633,0.1337050280476368,0.738108108108108,0.5233734064309611,0.21473470167714692,0.7512235899141846,0.5222973847428455,0.2289262051713391
Brooklyn Nets,1247,57,35,1212,0.7714285714285715,0.4265676567656766,0.34486091466289487,0.4362469927826784,Historical threshold scan,0.5493552381601257,0.5174926701774777,0.03186256798264797,0.7381081081081081,0.49284571118881876,0.24526239691928936,0.7393609696000166,0.49279459952567933,0.2465663700743373
Vancouver Grizzlies,460,48,60,400,0.5166666666666667,0.175,0.34166666666666673,0.21956521739130436,Historical threshold scan,0.5330439515849897,0.5099148012831796,0.023129150301810175,0.6485829731964371,0.4127180023744549,0.2358649708219822,0.6476622727097602,0.4106362567133148,0.2370260159964454
LA Clippers,87,45,25,62,0.76,0.41935483870967744,0.3406451612903226,0.5172413793103449,Historical threshold scan,0.5284497050646703,0.5088243130716723,0.019625391992997954,0.6090023879169295,0.4021386138183699,0.2068637740985596,0.609080628653112,0.39810018181724727,0.2109804468358647
Oklahoma City Hornets,178,43,73,105,0.6438356164383562,0.3238095238095238,0.32002609262883236,0.4550561797752809,Historical threshold scan,0.5269742105553347,0.5077057788246918,0.019268431730642854,0.587932673584868,0.38575985079105213,0.20217282279381588,0.5910133407036744,0.38369631693261586,0.20731702377105854
Milwaukee Bucks,5133,55,208,4925,0.8269230769230769,0.5072081218274112,0.3197149550956657,0.5201636469900643,Historical threshold scan,0.5467422219241939,0.49759748702603773,0.04914473489815613,0.7279996870217244,0.48093721789632615,0.2470624691253982,0.7272381033112333,0.4807847418627955,0.24645336144843777
New Orleans Hornets,802,31,772,30,0.48186528497409326,0.16666666666666666,0.31519861830742657,0.470074812967581,Historical threshold scan,0.5161789210991982,0.49090166540336394,0.025277255695834222,0.47636657023465395,0.2571726052753355,0.21919396495931848,0.47707886641399944,0.21214967344101282,0.2649291929729866
Utah Jazz,4202,62,39,4163,0.8461538461538461,0.5339899111217872,0.31216393503205897,0.5368871965730605,Historical threshold scan,0.5570829964818851,0.5136150955783084,0.04346790090357666,0.738108108108108,0.4971913640788343,0.2409167440292737,0.7419367193431308,0.4972576563819895,0.24467906296114128
Dallas Mavericks,4087,62,26,4061,0.8076923076923077,0.4986456537798572,0.3090466539124505,0.5006116956202593,Historical threshold scan,0.5586266934726533,0.5148992734375338,0.043727420035119424,0.738108108108108,0.4964931239485081,0.24161498415959992,0.7401007556212545,0.49631564368305287,0.24378511193820168
Orlando Magic,3244,32,3128,116,0.4862531969309463,0.1810344827586207,0.3052187141723256,0.4753390875462392,Historical threshold scan,0.5190217943005386,0.49337498596650187,0.025646808334036764,0.5066920592813053,0.2571726052753354,0.24951945400596992,0.507236281980803,0.22795800758236773,0.2792782743984352
Los Angeles Clippers,3550,33,3331,219,0.4593215250675473,0.1552511415525114,0.3040703835150359,0.4405633802816901,Historical threshold scan,0.5191269413511471,0.49414647772790393,0.024980463623243188,0.5068852542411858,0.26167232766831783,0.24521292657286797,0.5078479777407724,0.24562583398953225,0.26222214375124014
Washington Wizards,2506,53,139,2367,0.6906474820143885,0.38698774820447823,0.3036597338099103,0.4038308060654429,Historical threshold scan,0.5418194034713574,0.5158220366878974,0.025997366783459985,0.7133089478714709,0.4756098266621939,0.237699121209277,0.711460593266252,0.4758131248348456,0.23564746843140638
Miami Heat,3489,56,89,3400,0.8202247191011236,0.5167647058823529,0.3034600132187707,0.524505588993981,Historical threshold scan,0.5475986590740003,0.5157681834608443,0.031830475613155995,0.731665151256317,0.473631615252,0.25803353600431705,0.7312084908644909,0.4738757088678161,0.2573327819966748
New Orleans Pelicans,1140,53,137,1003,0.708029197080292,0.4067796610169492,0.3012495360633428,0.44298245614035087,Historical threshold scan,0.5415377203720102,0.5183249604256688,0.02321275994634142,0.7130692337049053,0.502470467267369,0.21059876643753628,0.7126151840725342,0.5026573910685145,0.20995779300401973
Houston Rockets,4891,63,35,4856,0.8285714285714286,0.5275947281713345,0.30097670040009417,0.5297485176855449,Historical threshold scan,0.5608274659642358,0.5042246039293555,0.0566028620348803,0.7381081081081081,0.5106791701484623,0.2274289379596458,0.7358146288777923,0.5107698244215295,0.22504480445626274
Detroit Pistons,6009,63,48,5961,0.7708333333333334,0.4732427445059554,0.297590588827378,0.47561990347811617,Historical threshold scan,0.5642600548295388,0.49190589083868025,0.07235416399085853,0.7381081081081081,0.5003559244472806,0.2377521836608275,0.7436591187190458,0.49996374118525694,0.24369537753378884
Indiana Pacers,4441,57,113,4328,0.7787610619469026,0.48844731977818856,0.2903137421687141,0.49583427156045934,Historical threshold scan,0.5498654595062052,0.5086784471292869,0.04118701237691835,0.7381081081081079,0.4904083033890878,0.2476998047190201,0.7350533902589688,0.4904735294551932,0.24457986080377558
Denver Nuggets,4424,62,43,4381,0.7906976744186046,0.5046792969641635,0.28601837745444114,0.5074593128390597,Historical threshold scan,0.5572087386763172,0.5107734152638572,0.04643532341245993,0.7381081081081081,0.514499670775929,0.22360843733217917,0.7428990340861278,0.5147703925659128,0.22812864152021495
Oklahoma City Thunder,1681,33,1639,42,0.5930445393532642,0.30952380952380953,0.28352072982945464,0.5859607376561571,Historical threshold scan,0.5223253648493111,0.4949829434055984,0.02734242144371274,0.5395591425043413,0.2571726052753355,0.28238653722900586,0.5408074644667008,0.24437040076195857,0.2964370637047422
Portland Trail Blazers,4928,54,343,4585,0.7755102040816326,0.49640130861504905,0.2791088954665836,0.515827922077922,Historical threshold scan,0.5444338677945667,0.5004055861503452,0.044028281644221456,0.72353967297759,0.4928286436747562,0.23071102930283383,0.7226617501389363,0.49324989492079013,0.22941185521814617
Chicago Bulls,5332,61,42,5290,0.7857142857142857,0.5079395085066163,0.2777747772076694,0.5101275318829708,Historical threshold scan,0.5556699685293276,0.4990189721992248,0.05665099633010279,0.7381081081081081,0.5062417805756327,0.23186632753247538,0.731712514991463,0.5062894144100999,0.22542310058136306
Atlanta Hawks,5091,63,25,5066,0.76,0.48795894196604817,0.27204105803395184,0.4892948340208211,Historical threshold scan,0.5579901792372227,0.49983100227720895,0.05815917696001377,0.7381081081081081,0.49693605673661356,0.24117205137149456,0.7466095004481365,0.49682097877498105,0.2497885216731554
New York Knicks,6592,60,57,6535,0.7543859649122807,0.4849273144605968,0.26945865045168393,0.48725728155339804,Historical threshold scan,0.5560622038737169,0.48655693728534577,0.06950526658837108,0.738108108108108,0.4941818821804356,0.24392622592767238,0.7407306676968991,0.49407046277374095,0.24666020492315816
Seattle SuperSonics,3573,59,28,3545,0.7857142857142857,0.5190409026798307,0.266673383034455,0.521130702490904,Historical threshold scan,0.5529396928757525,0.4888212323706282,0.06411846050512432,0.738108108108108,0.4879086804321942,0.2501994276759138,0.7345957599336276,0.48769446750392526,0.24690129242970232
Cleveland Cavaliers,4894,55,171,4723,0.7192982456140351,0.4677112005081516,0.2515870451058835,0.4765018389865141,Historical threshold scan,0.5460014655646407,0.5006398138560462,0.04536165170859452,0.7264512184767835,0.4861521094084924,0.2402991090682911,0.724176695455011,0.4861203966574718,0.23805629879753915
Washington Bullets,1992,56,51,1941,0.7058823529411765,0.46264811952601753,0.24323423341515898,0.46887550200803213,Historical threshold scan,0.5482319939866287,0.48913107384997695,0.05910092013665175,0.7311477896417008,0.48765312560776464,0.24349466403393616,0.727353811971483,0.48749580622269545,0.23985800574878752
Los Angeles Lakers,6158,58,134,6024,0.8283582089552238,0.5894754316069057,0.2388827773483181,0.5946735953231569,Historical threshold scan,0.5538541861508232,0.4939158564160846,0.05993832973473856,0.738108108108108,0.5048606844278087,0.23324742368029927,0.7375001537819691,0.5052976236010543,0.23220253018091475
Golden State Warriors,4836,61,50,4786,0.72,0.49456748850814874,0.22543251149185123,0.4968982630272953,Historical threshold scan,0.5565845887065963,0.5036879549223408,0.052896633784255576,0.7381081081081081,0.5093298526580139,0.22877825545009423,0.7332470027921333,0.5092138382789257,0.22403316451320754
Boston Celtics,6945,60,102,6843,0.8137254901960784,0.5946222417068537,0.2191032484892247,0.5978401727861771,Historical threshold scan,0.5620934795282704,0.48697220353381493,0.07512127599445545,0.7381081081081079,0.49812556170586025,0.23998254640224764,0.7432525499862405,0.4983075285227901,0.24494502146345037
San Antonio Spurs,4556,63,30,4526,0.8,0.5866106937693327,0.21338930623066732,0.5880158033362599,Historical threshold scan,0.5609333297250525,0.5100998243117146,0.050833505413337865,0.738108108108108,0.5093323877173016,0.2287757203908064,0.7344304278365587,0.5096284775798282,0.22480195025673044
